3,yes,low,yes,low,yes
4,yes,low,yes,low,yes
5,yes,low,yes,low,yes
6,yes,low,yes,low,yes
7,yes,low,yes,low,yes
8,yes,low,yes,low,yes
8,yes,low,yes,low,yes
9,yes,low,yes,low,yes
10,yes,low,yes,low,yes
11,yes,low,yes,low,yes
12,yes,low,yes,low,yes
13,yes,low,yes,low,yes
14,yes,low,yes,low,yes
15,yes,low,yes,low,yes
16,yes,low,yes,low,yes
17,yes,low,yes,low,yes
18,yes,low,yes,low,yes
19,yes,low,yes,low,yes
20,yes,low,yes,low,yes
21,yes,low,yes,low,yes
22,yes,low,yes,low,yes
23,yes,low,yes,low,yes
24,yes,low,yes,low,yes
25,yes,low,yes,low,no
26,yes,low,yes,low,no
27,yes,low,yes,low,no
28,yes,low,yes,low,no
29,yes,low,yes,low,no
30,yes,low,yes,low,no
31,yes,low,yes,low,no
32,yes,low,yes,low,no
33,yes,low,yes,low,no
34,yes,low,yes,low,no
35,yes,low,yes,low,no
36,yes,low,yes,low,no
37,yes,low,yes,low,no
38,yes,low,yes,low,no
39,yes,low,yes,low,no
40,yes,low,yes,low,no
41,yes,low,yes,low,no
42,yes,low,yes,low,no
43,yes,low,yes,low,no
44,yes,low,yes,low,no
45,yes,low,yes,low,no
46,yes,low,yes,low,no
47,yes,low,yes,low,no
48,yes,low,yes,low,no
49,yes,low,yes,low,no
50,yes,low,yes,low,no
51,yes,low,yes,low,no
52,yes,low,yes,low,no
53,yes,low,yes,low,no
54,yes,low,yes,low,no
55,yes,low,yes,low,no
56,yes,low,yes,low,no
57,yes,low,yes,low,no
58,yes,low,yes,low,no
59,yes,low,yes,low,no
60,yes,low,yes,low,no
61,yes,low,yes,low,no
62,yes,low,yes,low,no
63,yes,low,yes,low,no
64,yes,low,yes,low,no
65,yes,low,yes,low,no
66,yes,low,yes,low,no
67,yes,low,yes,low,no
68,yes,low,yes,low,no
69,yes,low,yes,low,no
70,yes,low,yes,low,no
71,yes,low,yes,low,no
72,yes,low,yes,low,no
73,yes,low,yes,low,no
74,yes,low,yes,low,no
75,yes,low,yes,low,no
76,yes,low,yes,low,no
77,yes,low,yes,low,no
78,yes,low,yes,low,no
79,yes,low,yes,low,no
80,yes,low,yes,low,no
81,yes,low,yes,low,no
82,yes,low,yes,low,no
83,yes,low,yes,low,no
84,yes,low,yes,low,no
85,yes,low,yes,low,no
86,yes,low,yes,low,no
87,yes,low,yes,low,no
88,yes,low,yes,low,no
89,yes,low,yes,low,no
90,yes,low,yes,low,no
91,yes,low,yes,low,no
92,yes,low,yes,low,no
93,yes,low,yes,low,no
94,yes,low,yes,low,no
95,yes,low,yes,low,no
96,yes,low,yes,low,no
97,yes,low,yes,low,no
98,yes,low,yes,low,no
99,yes,low,yes,low,no
100,yes,low,yes,low,no
101,yes,low,yes,low,no
102,yes,low,yes,low,no
103,yes,low,yes,low,no
104,yes,low,yes,low,no
105,yes,low,yes,low,no
106,yes,low,yes,low,no
107,yes,low,yes,low,no
108,yes,low,yes,low,no
109,yes,low,yes,low,no
110,yes,low,yes,low,no
111,yes,low,yes,low,no
112,yes,low,yes,low,no
113,yes,low,yes,low,no
114,yes,low,yes,low,no
115,yes,low,yes,low,no
116,yes,low,yes,low,no
117,yes,low,yes,low,no
118,yes,low,yes,low,no
119,yes,low,yes,low,no
120,yes,low,yes,low,no
121,yes,low,yes,low,no
122,yes,low,yes,low,no
123,yes,low,yes,low,no
124,yes,low,yes,low,no
125,yes,low,yes,low,no
126,yes,low,yes,low,no
127,yes,low,yes,low,no
128,yes,low,yes,low,no
129,yes,low,yes,low,no
130,yes,low,yes,low,no
131,yes,low,yes,low,no
132,yes,low,yes,low,no
133,yes,low,yes,low,no
134,yes,low,yes,low,no
135,yes,low,yes,low,no
136,yes,low,yes,low,no
137,yes,low,yes,low,no
138,yes,low,yes,low,no
139,yes,low,yes,low,no
140,yes,low,yes,low,no
141,yes,low,yes,low,no
142,yes,low,yes,low,no
143,yes,low,yes,low,no
144,yes,low,yes,low,no
145,yes,low,yes,low,no
146,yes,low,yes,low,no
147,yes,low,yes,low,no
148,yes,low,yes,low,no
149,yes,low,yes,low,no
150,yes,low,yes,low,no
151,yes,low,yes,low,no
152,yes,low,yes,low,no
153,yes,low,yes,low,no
154,yes,low,yes,low,no
155,yes,low,yes,low,no
156,yes,low,yes,low,no
157,yes,low,yes,low,no
158,yes,low,yes,low,no
159,yes,low,yes,low,no
160,yes,low,yes,low,no
161,yes,low,yes,low,no
162,yes,low,yes,low,no
163,yes,low,yes,low,no
164,yes,low,yes,low,no
165,yes,low,yes,low,no
166,yes,low,yes,low,no
167,yes,low,yes,low,no
168,yes,low,yes,low,no
169,yes,low,yes,low,no
170,yes,low,yes,low,no
171,yes,low,yes,low,no
172,yes,low,yes,low,no
173,yes,low,yes,low,no
174,yes,low,yes,low,no
175,yes,low,yes,low,no
176,yes,low,yes,low,no
177,yes,low,yes,low,no
178,yes,low,yes,low,no
179,yes,low,yes,low,no
180,yes,low,yes,low,no
181,yes,low,yes,low,no
182,yes,low,yes,low,no
183,yes,low,yes,low,no
184,yes,low,yes,low,no
185,yes,low,yes,low,no
186,yes,low,yes,low,no
187,yes,low,yes,low,no
188,yes,low,yes,low,no
189,yes,low,yes,low,no
190,yes,low,yes,low,no
191,yes,low,yes,low,no
192,yes,low,yes,low,no
193,yes,low,yes,low,no
194,yes,low,yes,low,no
195,yes,low,yes,low,no
196,yes,low,yes,low,no
197,yes,low,yes,low,no
198,yes,low,yes,low,no
199,yes,low,yes,low,no
200,yes,low,yes,low,no
201,yes,low,yes,low,no
202,yes,low,yes,low,no
203,yes,low,yes,low,no
204,yes,low,yes,low,no
205,yes,low,yes,low,no
206,yes,low,yes,low,no
207,yes,low,yes,low,no
208,yes,low,yes,low,no
209,yes,low,yes,low,no
210,yes,low,yes,low,no
211,yes,low,yes,low,no
212,yes,low,yes,low,no
213,yes,low,yes,low,no
214,yes,low,yes,low,no
215,yes,low,yes,low,no
216,yes,low,yes,low,no
217,yes,low,yes,low,no
218,yes,low,yes,low,no
219,yes,low,yes,low,no
220,yes,low,yes,low,no
221,yes,low,yes,low,no
222,yes,low,yes,low,no
223,yes,low,yes,low,no
224,yes,low,yes,low,no
225,yes,low,yes,low,no
226,yes,low,yes,low,no
227,yes,low,yes,low,no
228,yes,low,yes,low,no
229,yes,low,yes,low,no
230,yes,low,yes,low,no
231,yes,low,yes,low,no
232,yes,low,yes,low,no
233,yes,low,yes,low,no
234,yes,low,yes,low,no
235,yes,low,yes,low,no
236,yes,low,yes,low,no
237,yes,low,yes,low,no
238,yes,low,yes,low,no
239,yes,low,yes,low,no
240,yes,low,yes,low,no
241,yes,low,yes,low,no
242,yes,low,yes,low,no
243,yes,low,yes,low,no
244,yes,low,yes,low,no
245,yes,low,yes,low,no
246,yes,low,yes,low,no
247,yes,low,yes,low,no
248,yes,low,yes,low,no
249,yes,low,yes,low,no
250,yes,low,yes,low,no
251,yes,low,yes,low,no
252,yes,low,yes,low,no
253,yes,low,yes,low,no
254,yes,low,yes,low,no
255,yes,low,yes,low,no
256,yes,low,yes,low,no
257,yes,low,yes,low,no
258,yes,low,yes,low,no
259,yes,low,yes,low,no
260,yes,low,yes,low,no
261,yes,low,yes,low,no
262,yes,low,yes,low,no
263,yes,low,yes,low,no
264,yes,low,yes,low,no
265,yes,low,yes,low,no
266,yes,low,yes,low,no
267,yes,low,yes,low,no
268,yes,low,yes,low,no
269,yes,low,yes,low,no
270,yes,low,yes,low,no
271,yes,low,yes,low,no
272,yes,low,yes,low,no
273,yes,low,yes,low,no
274,yes,low,yes,low,no
275,yes,low,yes,low,no
276,yes,low,yes,low,no
277,yes,low,yes,low,no
278,yes,low,yes,low,no
279,yes,low,yes,low,no
280,yes,low,yes,low,no
281,yes,low,yes,low,no
282,yes,low,yes,low,no
283,yes,low,yes,low,no
284,yes,low,yes,low,no
285,yes,low,yes,low,no
286,yes,low,yes,low,no
287,yes,low,yes,low,no
288,yes,low,yes,low,no
289,yes,low,yes,low,no
290,yes,low,yes,low,no
291,yes,low,yes,low,no
292,yes,low,yes,low,no
293,yes,low,yes,low,no
294,yes,low,yes,low,no
295,yes,low,yes,low,no
296,yes,low,yes,low,no
297,yes,low,yes,low,no
298,yes,low,yes,low,no
299,yes,low,yes,low,no
300,yes,low,yes,low,no
301,yes,low,yes,low,no
302,yes,low,yes,low,no
303,yes,low,yes,low,no
304,yes,low,yes,low,no
305,yes,low,yes,low,no
306,yes,low,yes,low,no
307,yes,low,yes,low,no
308,yes,low,yes,low,no
309,yes,low,yes,low,no
310,yes,low,yes,low,no
311,yes,low,yes,low,no
312,yes,low,yes,low,no
313,yes,low,yes,low,no
314,yes,low,yes,low,no
315,yes,low,yes,low,no
316,yes,low,yes,low,no
317,yes,low,yes,low,no
318,yes,low,yes,low,no
319,yes,low,yes,low,no
320,yes,low,yes,low,no
321,yes,low,yes,low,no
322,yes,low,yes,low,no
323,yes,low,yes,low,no
324,yes,low,yes,low,no
325,yes,low,yes,low,no
326,yes,low,yes,low,no
327,yes,low,yes,low,no
328,yes,low,yes,low,no
329,yes,low,yes,low,no
330,yes,low,yes,low,no
331,yes,low,yes,low,no
332,yes,low,yes,low,no
333,yes,low,yes,low,no
334,yes,low,yes,low,no
335,yes,low,yes,low,no
336,yes,low,yes,low,no
337,yes,low,yes,low,no
338,yes,low,yes,low,no
339,yes,low,yes,low,no
340,yes,low,yes,low,no
341,yes,low,yes,low,no
342,yes,low,yes,low,no
343,yes,low,yes,low,no
344,yes,low,yes,low,no
345,yes,low,yes,low,no
346,yes,low,yes,low,no
347,yes,low,yes,low,no
348,yes,low,yes,low,no
349,yes,low,yes,low,no
350,yes,low,yes,low,no
351,yes,low,yes,low,no
352,yes,low,yes,low,no
353,yes,low,yes,low,no
354,yes,low,yes,low,no
355,yes,low,yes,low,no
356,yes,low,yes,low,no
357,yes,low,yes,low,no
358,yes,low,yes,low,no
359,yes,low,yes,low,no
360,yes,low,yes,low,no
361,yes,low,yes,low,no
362,yes,low,yes,low,no
363,yes,low,yes,low,no
364,yes,low,yes,low,no
365,yes,low,yes,low,no
366,yes,low,yes,low,no
367,yes,low,yes,low,no
368,yes,low,yes,low,no
369,yes,low,yes,low,no
370,yes,low,yes,low,no
371,yes,low,yes,low,no
372,yes,low,yes,low,no
373,yes,low,yes,low,no
374,yes,low,yes,low,no
375,yes,low,yes,low,no
376,yes,low,yes,low,no
377,yes,low,yes,low,no
